iter	MultiClass
0	5.147496
1	5.026607837
2	4.887915537
3	4.749922195
4	4.618228599
5	4.481174337
6	4.333120219
7	4.202245636
8	4.109317207
9	4.001725004
10	3.855628469
11	3.772392123
12	3.677136937
13	3.602258025
14	3.531345053
15	3.449580172
16	3.362803301
17	3.283282694
18	3.204652777
19	3.127647749
20	3.0492814
21	2.978538634
22	2.935718703
23	2.874692439
24	2.804597089
25	2.747597529
26	2.687561767
27	2.606033538
28	2.555095397
29	2.497671653
30	2.436717351
31	2.381931801
32	2.359361625
33	2.317170953
34	2.268216648
35	2.221244303
36	2.176990754
37	2.126232284
38	2.085429846
39	2.05133898
40	2.013920139
41	1.981338224
42	1.945931993
43	1.917968258
44	1.891543426
45	1.863020439
46	1.821012224
47	1.792206277
48	1.762146883
49	1.733626937
