iter	Passed	Remaining
0	67440	3304566
1	158237	3797709
2	244803	3835253
3	331739	3815009
4	420393	3783543
5	507452	3721318
6	592593	3640218
7	678661	3562972
8	764387	3482211
9	850522	3402088
10	940086	3333033
11	1024179	3243234
12	1113408	3168932
13	1209733	3110743
14	1296006	3024016
15	1379161	2930717
16	1462795	2839545
17	1545541	2747629
18	1632293	2663216
19	1720312	2580468
20	1808881	2497979
21	1895582	2412558
22	1982545	2327335
23	2070555	2243101
24	2157113	2157113
25	2243257	2070699
26	2328766	1983764
27	2414055	1896758
28	2499121	1809708
29	2583094	1722063
30	2669014	1635847
31	2758330	1551560
32	2842864	1464505
33	2928996	1378351
34	3029140	1298203
35	3122439	1214282
36	3206877	1126740
37	3296024	1040849
38	3382607	954068
39	3476636	869159
40	3564320	782411
41	3650515	695336
42	3742157	609188
43	3831619	522493
44	3918125	435347
45	4004540	348220
46	4088861	260991
47	4172238	173843
48	4254874	86834
49	4342459	0
