EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0001,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,ANNEAL DIELECTRIC,DEPOSIT TOP METAL,FILL VIA METAL
valid_0002,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,PRE CLEAN INSPECTION,INITIAL WAFER INSPECTION,BACKSIDE DRY
valid_0003,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,BREAKDOWN VOLTAGE TEST,MEASURE SPACER WIDTH
valid_0004,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CMP VIA FILL,CMP METAL,PATTERN INSPECTION LEVEL 1
valid_0005,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0006,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,VIA OPENING INSPECTION,EPITAXIAL REWORK CHECK
valid_0007,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,POLYSILICON ETCH
valid_0008,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,CMP VIA FILL,CMP METAL
valid_0009,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0010,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT WELL
valid_0011,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,POLYSILICON ETCH
valid_0012,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CMP VIA FILL,CLEAN PAD OPENING,CMP METAL
valid_0013,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,BREAKDOWN VOLTAGE TEST,MEASURE GATE CD
valid_0014,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT WELL
