seed,family,scenario,task1_top1,task1_top2,task1_top3,task1_top5,task1_mrr,task2_exact_match,task2_normalized_edit_distance,task2_token_accuracy,task2_block_accuracy,task3_accuracy,task3_rule_attribution_accuracy,exact_route_coverage,fit_valid_full_routes,fallback_training_sequences,valid_rows,anomaly_rows
0,THEFOURTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
0,THEFOURTHFAMILY,decoupled_known_fallback_only,0.405,0.445,0.45,0.46,0.4286666666666667,0.0,0.6042121427679213,0.07027874212914044,0.23041450150180293,1.0,1.0,0.0,0,7009,200,200
0,THEFOURTHFAMILY,decoupled_visible_family_routes,0.775,0.96,1.0,1.0,0.8808333333333332,0.0,0.15882755835240167,0.4853678509202627,0.7102137377666923,1.0,1.0,0.0,160,7169,200,200
0,THEFOURTHFAMILY,oracle_hidden_family_generator_training,0.795,0.955,1.0,1.0,0.89,0.0,0.15206917640142031,0.5866016683333561,0.777851161942383,1.0,1.0,0.0,0,8209,200,200
0,THEFIFTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
0,THEFIFTHFAMILY,decoupled_known_fallback_only,0.43,0.475,0.48,0.495,0.45716666666666667,0.0,0.6292577659477697,0.06659595596229251,0.21578986975348466,1.0,1.0,0.0,0,7009,200,200
0,THEFIFTHFAMILY,decoupled_visible_family_routes,0.795,0.975,1.0,1.0,0.8933333333333333,0.0,0.15575792279940834,0.5035437913791914,0.7177255063541871,1.0,1.0,0.0,160,7169,200,200
0,THEFIFTHFAMILY,oracle_hidden_family_generator_training,0.785,0.99,1.0,1.0,0.8908333333333333,0.0,0.1560990182975883,0.5697709953968553,0.7680319988274578,1.0,1.0,0.0,0,8209,200,200
1,THEFOURTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
1,THEFOURTHFAMILY,decoupled_known_fallback_only,0.47,0.525,0.53,0.535,0.5001666666666666,0.0,0.584910700888565,0.07995841974727222,0.250226846002391,1.0,1.0,0.0,0,7009,200,200
1,THEFOURTHFAMILY,decoupled_visible_family_routes,0.735,0.94,1.0,1.0,0.8575000000000002,0.0,0.15513228042480495,0.552331713518273,0.7561031041231197,1.0,1.0,0.0,160,7169,200,200
1,THEFOURTHFAMILY,oracle_hidden_family_generator_training,0.765,0.975,1.0,1.0,0.8783333333333333,0.0,0.15588403869256826,0.5909973473699793,0.7792769662118725,1.0,1.0,0.0,0,8209,200,200
1,THEFIFTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
1,THEFIFTHFAMILY,decoupled_known_fallback_only,0.415,0.48,0.485,0.5,0.45216666666666666,0.0,0.6473926093474126,0.07096212863220631,0.2221427418671172,1.0,1.0,0.0,0,7009,200,200
1,THEFIFTHFAMILY,decoupled_visible_family_routes,0.78,0.98,1.0,1.0,0.8866666666666666,0.0,0.15464341220031677,0.4881077728923652,0.7132500023654678,1.0,1.0,0.0,160,7169,200,200
